,Date,Open,High,Low,Close,Volume,Year,Month,Day
3309,2020-12-15,6.35,6.5,6.15,6.42,1197500,2020,12,15
3310,2020-12-16,6.48,6.5,6.3,6.31,171000,2020,12,16
3311,2020-12-17,6.48,6.5,6.35,6.42,544000,2020,12,17
3312,2020-12-18,6.55,6.55,6.26,6.35,500000,2020,12,18
3313,2020-12-21,6.25,6.4,6.02,6.09,771500,2020,12,21
3315,2020-12-23,6.3,6.3,6.2,6.2,34000,2020,12,23
3076,2020-01-03,5.57,5.57,5.4,5.5,131000,2020,1,3
3077,2020-01-06,5.35,5.35,5.15,5.2,288500,2020,1,6
3078,2020-01-07,5.25,5.3,5.16,5.25,99500,2020,1,7
3079,2020-01-08,5.34,5.35,5.11,5.23,53000,2020,1,8
3080,2020-01-09,5.48,5.59,5.3,5.57,607500,2020,1,9
3081,2020-01-10,5.5,5.69,5.5,5.62,332000,2020,1,10
3082,2020-01-13,5.73,5.73,5.52,5.58,306000,2020,1,13
3083,2020-01-14,5.53,5.6,5.5,5.55,16500,2020,1,14
3084,2020-01-15,5.6,5.6,5.5,5.56,439500,2020,1,15
3085,2020-01-16,5.51,6.0,5.51,5.75,1817000,2020,1,16
3086,2020-01-17,5.66,5.9,5.58,5.62,715000,2020,1,17
3087,2020-01-20,5.52,5.55,5.45,5.5,181000,2020,1,20
3088,2020-01-21,5.41,5.41,5.35,5.36,227000,2020,1,21
3089,2020-01-22,5.5,5.59,5.3,5.34,496000,2020,1,22
3122,2020-03-11,5.4,5.4,5.31,5.31,115500,2020,3,11
3091,2020-01-24,5.31,5.66,5.25,5.65,928500,2020,1,24
3092,2020-01-27,5.65,5.67,5.5,5.63,74500,2020,1,27
3093,2020-01-28,5.4,5.79,5.4,5.75,1066000,2020,1,28
3094,2020-01-29,5.6,5.74,5.5,5.5,82000,2020,1,29
3095,2020-01-30,5.38,5.55,5.38,5.52,28000,2020,1,30
3096,2020-01-31,5.51,5.75,5.51,5.61,675000,2020,1,31
3097,2020-02-03,5.61,5.78,5.45,5.69,1384000,2020,2,3
3098,2020-02-04,5.77,6.25,5.7,6.07,2072000,2020,2,4
3099,2020-02-06,6.01,6.25,6.0,6.09,822500,2020,2,6
3100,2020-02-07,6.02,6.05,5.99,6.0,305500,2020,2,7
