Date,Open,High,Low,Close,Volume
8/30/2017,187.01,187.01,187.01,187.01,51200
8/31/2017,177.66,177.66,177.66,177.66,217700
9/5/2017,168.78,168.78,168.78,168.78,228000
9/6/2017,162,164.5,160.35,160.35,5816600
9/7/2017,157.1,158,152.34,152.94,8271200
9/8/2017,160.58,160.58,160.58,160.58,5300
9/11/2017,168.6,168.6,168.6,168.6,103000
9/12/2017,177,177.03,174,177.03,2689100
9/13/2017,183,185.85,182,184.85,1935400
9/14/2017,185.9,189,182.02,188.49,2238100
9/15/2017,186.01,197.9,186.01,195.53,2375000
9/18/2017,196.49,196.99,190,192.79,400300
9/19/2017,192.6,193.85,189.02,192.16,262600
9/20/2017,190.26,191.5,187.55,188.6,400500
9/21/2017,187.01,188,184,184.82,1437000
9/22/2017,183.01,185.99,182.22,185.03,371300
9/25/2017,185.09,186.4,183.21,185.66,692600
9/26/2017,185.8,186,180,180.88,1937800
9/27/2017,179.07,181.79,179.07,180.69,608400
9/28/2017,180,181.9,173.26,179.47,244300
9/29/2017,180,183.3,179.01,180.76,349300
10/2/2017,180.76,180.76,175.35,176.11,384600
10/3/2017,176.1,176.11,170.35,171.11,882600
10/4/2017,171.99,172.95,167.5,169.67,812900
10/5/2017,170.05,172,168,170.19,665900
10/6/2017,171.75,174.99,170.05,173.51,554000
10/9/2017,173,182.14,172.9,174.87,1066600
10/10/2017,175.58,175.58,172.51,174.9,349300
10/11/2017,173.26,174.39,166.16,167.83,989600
10/12/2017,168,171.97,164,168.17,467600
10/13/2017,166.01,169.5,164.5,167.86,332500
10/16/2017,169.99,170.99,168,170.03,974100
10/17/2017,171,171.6,167.51,168.62,413900
10/18/2017,168.7,169,165.12,167.51,470600
10/19/2017,168,171,167,170.32,1098600
10/20/2017,168.06,173.8,168.06,172.92,1991700
10/23/2017,170.2,174.1,170.2,172.67,1594100
10/24/2017,172.95,172.97,170.25,171.01,333200
10/25/2017,171,172,169.65,171,903600
10/26/2017,169.75,171.3,169.75,170.61,1024700
10/27/2017,170.5,170.9,167.5,168.76,2790400
10/30/2017,167,167.03,164,165.17,3039100
10/31/2017,162,164,160.02,160.49,1953000
11/1/2017,161,165.5,160.16,164.04,1049400
11/2/2017,164,167,163.75,164.67,723800
11/3/2017,162.3,169,162.3,167.51,1190400
11/6/2017,169.01,169.01,164.1,164.6,1295700
11/7/2017,164.99,166.5,163.13,165.81,163000
11/8/2017,166.75,167,164.9,165.86,156500
11/9/2017,168,171.9,165.2,170.28,1039000
11/10/2017,168.06,170,167.76,167.98,124600
11/13/2017,167.75,169.49,165.51,168.07,211600
11/14/2017,169.4,170.49,166.6,169.87,218200
11/15/2017,168.99,169.98,165,165.93,1143800
11/16/2017,166.98,169,165.99,168.24,176000
11/17/2017,168,168.15,166.7,167.95,177700
