"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","305.634351","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","351.87888","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","46.244529","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","34.208274","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","34.208274","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","204.9203043","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","204.9203043","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","204.9203043","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","-569.0518802","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","410.801047","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","394.493828","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","427.782037","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","33.288209","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","16.307219","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","16.307219","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","-979.8529272","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","-979.8529272","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","30-Apr-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","-979.8529272","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","346.9618851","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","312.433574","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","293.803343","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","343.991085","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","50.187742","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","18.630231","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","18.630231","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","34.5283111","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","34.5283111","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Mar-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","34.5283111","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","187.2890154","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","181.259472","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","172.018361","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","205.681146","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","33.662785","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","9.241111","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","9.241111","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","6.0295434","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","6.0295434","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","29-Feb-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","6.0295434","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Jan-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","-106.8611928","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
